unit,ring,lon,lat
Salzburg,5,13.883948838012842,47.11003785404317
Salzburg,5,13.909899809591014,47.12452184436622
Salzburg,5,13.940277962487247,47.13687160273737
Salzburg,5,13.973359123884489,47.127403440081366
Salzburg,5,13.992471983041609,47.137150178576825
Salzburg,5,13.96870180625602,47.15100364640462
Salzburg,5,13.918052219900547,47.1706332840492
Salzburg,5,13.90303719328294,47.18483706424348
Salzburg,5,13.8981956350844,47.19133383682518
Salzburg,5,13.874882516504394,47.212810551115965
Salzburg,5,13.857808506363055,47.22611611828449
Salzburg,5,13.859250382090865,47.234390880341465
Salzburg,5,13.824408976065476,47.26748574321619
Salzburg,5,13.824168427526086,47.27866620072575
Salzburg,5,13.826133243599946,47.293680361711964
Salzburg,5,13.803467692795833,47.29033005431653
Salzburg,5,13.79192270254029,47.28191146113222
Salzburg,5,13.748500240080107,47.278293204964676
Salzburg,5,13.720474502177796,47.27625984691514
Salzburg,5,13.696593388910696,47.26056487232465
Salzburg,5,13.675607294941567,47.275065337094425
Salzburg,5,13.632223540074513,47.27447846569082
Salzburg,5,13.598462580147688,47.29400114359658
Salzburg,5,13.596299433412709,47.31531494305943
Salzburg,5,13.600467598765354,47.34119061270769
Salzburg,5,13.586398694942122,47.3614407475628
Salzburg,5,13.581439586585585,47.379521986749204
Salzburg,5,13.571210883365469,47.40789699487585
Salzburg,5,13.574481379274513,47.4272328722219
Salzburg,5,13.593443029650201,47.46106282561707
Salzburg,5,13.589092977664158,47.47306650746839
Salzburg,5,13.535075927061666,47.4954429469693
Salzburg,5,13.502759692996568,47.5122295449564
Salzburg,5,13.476968377808225,47.53288816719967
Salzburg,5,13.479668539866074,47.54792579118281
Salzburg,5,13.482115433480748,47.56044806214987
Salzburg,5,13.506033489801723,47.58251122502839
Salzburg,5,13.524071296678342,47.61885475146765
Salzburg,5,13.513899035563059,47.63318937141224
Salzburg,5,13.490632582495618,47.63085556003962
Salzburg,5,13.49049023732508,47.646980316645845
Salzburg,5,13.517722348440435,47.676065853618766
Salzburg,5,13.536404696812031,47.69583113732509
Salzburg,5,13.526666067552204,47.71733822165619
Salzburg,5,13.507311263676765,47.720732839945406
Salzburg,5,13.436869183358052,47.739977467907686
Salzburg,5,13.445806561129444,47.75947071833624
Salzburg,5,13.466056518136314,47.78669928834953
Salzburg,5,13.506194976211129,47.77494579842295
Salzburg,5,13.539479603361816,47.782890543573146
Salzburg,5,13.522001394658568,47.79816679903101
Salzburg,5,13.499624148480084,47.78976325512384
Salzburg,5,13.48285832544065,47.80239949521639
Salzburg,5,13.46342661816444,47.80431087860484
Salzburg,5,13.425895787195206,47.80164421523406
Salzburg,5,13.39552577153683,47.79559689562454
Salzburg,5,13.36946617314366,47.80293387525461
Salzburg,5,13.341379659481575,47.8133013164223
Salzburg,5,13.297577776218956,47.824750385013004
Salzburg,5,13.288913546544205,47.843051992054335
Salzburg,5,13.292270172977528,47.85229976640336
Salzburg,5,13.296397044578697,47.85755437265535
Salzburg,5,13.285910473703275,47.8733455356461
Salzburg,5,13.27087149550251,47.89199352339775
Salzburg,5,13.281888759162277,47.90520221519986
Salzburg,5,13.283119569355348,47.92281292348252
Salzburg,5,13.2815805254321,47.94412699279781
Salzburg,5,13.281051845006216,47.95528762128595
Salzburg,5,13.308305387410948,47.96458765077344
Salzburg,5,13.34186972659419,47.95237260622832
Salzburg,5,13.3503948869476,47.942244003212906
Salzburg,5,13.362362224050564,47.94546026065351
Salzburg,5,13.366021847043276,47.961067734724466
Salzburg,5,13.372324898606617,47.97742082765514
Salzburg,5,13.336392942713992,47.98791747883735
Salzburg,5,13.322441249503026,47.99088477752141
Salzburg,5,13.301941442104726,47.99594047293487
Salzburg,5,13.303600760822482,48.00755869642492
Salzburg,5,13.295976971958876,48.00784861468896
Salzburg,5,13.283366721028877,48.00350914850301
Salzburg,5,13.274955105253966,47.99829371076875
Salzburg,5,13.251846566788453,47.99318707610175
Salzburg,5,13.235413254380498,47.99016923299401
Salzburg,5,13.216683227322491,47.98190573836471
